secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
RTSI,2024-03-15,2024-03-22,1119.66,1113.05,-0.005903577871854,0,5,NaivePrice,0.0,1119.66,0,0,0,0.0,-0.0,-0.005903577871854,1.0,1.0371899286206834,5.0
RTSI,2024-03-22,2024-03-29,1113.05,1136.91,0.021436593144962,1,5,NaivePrice,0.0,1113.05,0,0,0,0.0,0.0,0.021436593144962,1.0,1.059423747134577,5.0
RTSI,2024-03-29,2024-04-05,1136.91,1155.91,0.0167119648872822,1,5,NaivePrice,0.0,1136.91,0,0,0,0.0,0.0,0.0167119648872822,1.0,1.077128799597443,5.0
RTSI,2024-04-05,2024-04-12,1155.91,1165.53,0.0083224472493532,1,5,NaivePrice,0.0,1155.91,0,0,0,0.0,0.0,0.0083224472493532,1.0,1.0860931472128519,5.0
RTSI,2024-04-12,2024-04-19,1165.53,1173.68,0.006992527004882,1,5,NaivePrice,0.0,1165.53,0,0,0,0.0,0.0,0.006992527004882,1.0,1.0936876828745552,5.0
RTSI,2024-04-19,2024-04-26,1173.68,1186.79,0.0111699952286823,1,5,NaivePrice,0.0,1173.68,0,0,0,0.0,0.0,0.0111699952286823,1.0,1.1059041690739326,5.0
RTSI,2024-04-26,2024-05-03,1186.79,1184.68,-0.0017779051053681,0,5,NaivePrice,0.0,1186.79,0,0,0,0.0,-0.0,-0.0017779051053681,1.0,1.1039379764056882,5.0
RTSI,2024-05-03,2024-05-13,1184.68,1193.46,0.0074112840598303,1,5,NaivePrice,0.0,1184.68,0,0,0,0.0,0.0,0.0074112840598303,1.0,1.112119574333265,5.0
RTSI,2024-05-13,2024-05-20,1193.46,1204.1,0.0089152548053557,1,5,NaivePrice,0.0,1193.46,0,0,0,0.0,0.0,0.0089152548053557,1.0,1.1220344037124699,5.0
RTSI,2024-05-20,2024-05-27,1204.1,1173.92,-0.0250643634249645,0,5,NaivePrice,0.0,1204.1,0,0,0,0.0,-0.0,-0.0250643634249645,1.0,1.093911325642507,5.0
RTSI,2024-05-27,2024-06-03,1173.92,1111.55,-0.0531296851574213,0,5,NaivePrice,0.0,1173.92,0,0,0,0.0,-0.0,-0.0531296851574213,1.0,1.0357921613209833,5.0
RTSI,2024-06-03,2024-06-10,1111.55,1130.91,0.0174171202375061,1,5,NaivePrice,0.0,1111.55,0,0,0,0.0,0.0,0.0174171202375061,1.0,1.0538326779357772,5.0
RTSI,2024-06-10,2024-06-18,1130.91,1127.16,-0.0033159137331882,0,5,NaivePrice,0.0,1130.91,0,0,0,0.0,-0.0,-0.0033159137331882,1.0,1.0503382596865274,5.0
